field_72749_I,countEntitiesRendered
field_72750_J,countEntitiesHidden
field_72751_K,renderersLoaded
field_72752_Q,worldRenderersCheckIndex
field_72753_P,dummyRenderInt
field_72754_S,allRenderLists
field_72755_R,glRenderLists
field_72756_f,prevSortZ
field_72757_g,frustumCheckOffset
field_72758_d,prevSortX
field_72759_e,prevSortY
field_72761_c,occlusionResult
field_72763_n,renderChunksTall
field_72764_o,renderChunksDeep
field_72765_l,worldRenderers
field_72766_m,renderChunksWide
field_72767_j,worldRenderersToUpdate
field_72768_k,sortedWorldRenderers
field_72769_h,theWorld
field_72770_i,renderEngine
field_72771_w,glSkyList
field_72772_v,starGLCallList
field_72773_u,cloudTickCounter
field_72774_t,occlusionEnabled
field_72775_s,glOcclusionQueryBase
field_72777_q,mc
field_72778_p,glRenderListBase
field_72779_z,minBlockY
field_72780_y,minBlockX
field_72781_x,glSkyList2
field_72782_b,theWorldServer
field_72783_a,mcServer
field_72792_d,entityViewDistance
field_72793_b,trackedEntities
field_72794_c,trackedEntityIDs
field_72795_a,theWorld
field_72814_d,isEmpty
field_72815_e,worldObj
field_72816_b,chunkZ
field_72817_c,chunkArray
field_72818_a,chunkX
field_72982_D,villageCollectionObj
field_72983_E,villageSiegeObj
field_72984_F,theProfiler
field_72985_G,spawnHostileMobs
field_72986_A,worldInfo
field_72987_B,findingSpawnPoint
field_72988_C,mapStorage
field_72990_M,ambientTickCountdown
field_72992_H,spawnPeacefulMobs
field_72993_I,activeChunkSet
field_72994_J,lightUpdateBlockList
field_72995_K,isRemote
field_72996_f,loadedEntityList
field_72997_g,unloadedEntityList
field_72998_d,collidingBoundingBoxes
field_72999_e,scheduledUpdatesAreImmediate
field_73001_c,cloudColour
field_73003_n,prevRainingStrength
field_73004_o,rainingStrength
field_73005_l,updateLCG
field_73006_m,DIST_HASH_MAGIC
field_73007_j,weatherEffects
field_73008_k,skylightSubtracted
field_73010_i,playerEntities
field_73011_w,provider
field_73012_v,rand
field_73013_u,difficultySetting
field_73016_r,lastLightningBolt
field_73017_q,thunderingStrength
field_73018_p,prevThunderingStrength
field_73019_z,saveHandler
field_73020_y,chunkProvider
field_73021_x,worldAccesses
field_73032_d,entityList
field_73033_b,clientChunkProvider
field_73034_c,entityHashSet
field_73035_a,sendQueue
field_73036_L,entitySpawnQueue
field_73037_M,mc
field_73038_N,previousActiveChunkSet
field_73058_d,levelSaving
field_73059_b,theChunkProviderServer
field_73061_a,mcServer
field_73062_L,theEntityTracker
field_73063_M,thePlayerManager
field_73064_N,pendingTickListEntriesHashSet
field_73065_O,pendingTickListEntriesTreeSet
field_73066_T,entityIdMap
field_73068_P,allPlayersSleeping
field_73069_S,bonusChestContent
field_73071_a,demoWorldSettings
field_73072_L,demoWorldSeed
field_73086_f,partiallyDestroyedBlockX
field_73087_g,partiallyDestroyedBlockY
field_73088_d,isDestroyingBlock
field_73089_e,initialDamage
field_73090_b,thisPlayerMP
field_73091_c,gameType
field_73092_a,theWorld
field_73093_n,initialBlockDamage
field_73094_o,durabilityRemainingOnBlock
field_73095_l,posY
field_73096_m,posZ
field_73097_j,receivedFinishDiggingPacket
field_73098_k,posX
field_73099_h,partiallyDestroyedBlockZ
field_73100_i,curblockDamage
field_73103_d,demoTimeExpired
field_73111_d,partialBlockZ
field_73112_e,partialBlockProgress
field_73113_b,partialBlockX
field_73114_c,partialBlockY
field_73115_a,miningPlayerEntId
field_73126_f,lastScaledZPosition
field_73127_g,lastYaw
field_73128_d,lastScaledXPosition
field_73129_e,lastScaledYPosition
field_73130_b,blocksDistanceThreshold
field_73131_c,updateFrequency
field_73132_a,myEntity
field_73133_n,playerEntitiesUpdated
field_73134_o,trackingPlayers
field_73135_l,motionZ
field_73136_m,ticks
field_73137_j,motionX
field_73138_k,motionY
field_73139_h,lastPitch
field_73140_i,lastHeadMotion
field_73141_v,ridingEntity
field_73142_u,ticksSinceLastForcedTeleport
field_73143_t,sendVelocityUpdates
field_73144_s,isDataInitialized
field_73145_r,posZ
field_73146_q,posY
field_73147_p,posX
field_73161_b,random
field_73163_a,worldObj
field_73167_f,noiseData3
field_73168_g,noiseData4
field_73169_d,noiseData1
field_73170_e,noiseData2
field_73171_b,netherNoiseGen7
field_73172_c,genNetherBridge
field_73173_a,netherNoiseGen6
field_73174_n,netherrackExculsivityNoiseGen
field_73175_o,worldObj
field_73176_l,netherNoiseGen3
field_73177_m,slowsandGravelNoiseGen
field_73178_j,netherNoiseGen1
field_73179_k,netherNoiseGen2
field_73180_h,noiseData5
field_73181_i,hellRNG
field_73182_t,netherCaveGenerator
field_73183_s,netherrackExclusivityNoise
field_73184_r,gravelNoise
field_73185_q,slowsandNoise
field_73186_p,noiseField
field_73190_f,noiseData4
field_73191_g,noiseData5
field_73192_d,noiseData2
field_73193_e,noiseData3
field_73194_b,noiseGen5
field_73195_c,noiseData1
field_73196_a,noiseGen4
field_73197_n,densities
field_73198_o,biomesForGeneration
field_73199_l,noiseGen3
field_73200_m,endWorld
field_73201_j,noiseGen1
field_73202_k,noiseGen2
field_73204_i,endRNG
field_73212_b,noiseGen6
field_73213_c,mobSpawnerNoise
field_73214_a,noiseGen5
field_73220_k,rand
field_73223_w,mineshaftGenerator
field_73224_v,villageGenerator
field_73225_u,strongholdGenerator
field_73226_t,caveGenerator
field_73227_s,stoneNoise
field_73229_q,mapFeaturesEnabled
field_73230_p,worldObj
field_73231_z,biomesForGeneration
field_73232_y,ravineGenerator
field_73233_x,scatteredFeatureGenerator
field_73235_d,worldObj
field_73236_b,chunkMapping
field_73237_c,chunkListing
field_73238_a,blankChunk
field_73244_f,loadedChunkHashMap
field_73245_g,loadedChunks
field_73246_d,currentChunkProvider
field_73247_e,currentChunkLoader
field_73248_b,chunksToUnload
field_73249_c,defaultEmptyChunk
field_73250_a,loadChunkOnProvideRequest
field_73251_h,worldObj
field_73260_f,flagsYAreasToUpdate
field_73262_e,numberOfTilesToUpdate
field_73263_b,playersWatchingChunk
field_73264_c,chunkLocation
field_73265_a,thePlayerManager
field_73672_b,serverProperties
field_73673_c,serverPropertiesFile
field_73692_f,banEndDate
field_73693_g,reason
field_73694_d,banStartDate
field_73695_e,bannedBy
field_73697_c,username
field_73698_a,dateFormat
field_73701_b,sender
field_73702_a,command
field_73713_b,fileName
field_73714_c,listActive
field_73715_a,theBanList
field_73716_a,theServer
field_73725_b,mc
field_73726_c,currentlyDisplayedText
field_73735_i,zLevel
field_73837_f,updateCounter
field_73838_g,recordPlaying
field_73839_d,mc
field_73840_e,persistantChatGUI
field_73841_b,itemRenderer
field_73842_c,rand
field_73843_a,prevVignetteBrightness
field_73844_j,recordIsPlaying
field_73845_h,recordPlayingUpFor
field_73973_d,buttonResetDemo
field_73974_b,updateCounter
field_73975_c,splashText
field_73976_a,rand
field_73977_n,viewportTexture
field_73978_o,titlePanoramaPaths
field_73979_m,panoramaTimer
field_74267_a,mcServer
field_74270_a,mcServer
field_74272_a,mcServer
field_74274_a,mcServer
field_74276_f,lastHRTime
field_74277_g,lastSyncSysClock
field_74278_d,timerSpeed
field_74279_e,elapsedPartialTicks
field_74280_b,elapsedTicks
field_74281_c,renderPartialTicks
field_74282_a,ticksPerSecond
field_74283_j,timeSyncAdjustment
field_74284_h,lastSyncHRClock
field_74286_b,username
field_74293_b,pixelBuffer
field_74294_c,pixelValues
field_74295_a,dateFormat
field_74310_D,keyBindChat
field_74311_E,keyBindSneak
field_74312_F,keyBindAttack
field_74313_G,keyBindUseItem
field_74314_A,keyBindJump
field_74316_C,keyBindDrop
field_74317_L,mc
field_74318_M,difficulty
field_74319_N,hideGUI
field_74320_O,thirdPersonView
field_74321_H,keyBindPlayerList
field_74322_I,keyBindPickBlock
field_74323_J,keyBindCommand
field_74324_K,keyBindings
field_74325_U,debugCamEnable
field_74326_T,smoothCamera
field_74327_W,debugCamRate
field_74328_V,noclipRate
field_74329_Q,showDebugProfilerChart
field_74330_P,showDebugInfo
field_74331_S,noclip
field_74332_R,lastServer
field_74333_Y,gammaSetting
field_74334_X,fovSetting
field_74335_Z,guiScale
field_74336_f,viewBobbing
field_74337_g,anaglyph
field_74338_d,invertMouse
field_74341_c,mouseSensitivity
field_74343_n,chatVisibility
field_74344_o,chatColours
field_74345_l,clouds
field_74347_j,fancyGraphics
field_74348_k,ambientOcclusion
field_74349_h,advancedOpengl
field_74350_i,limitFramerate
field_74351_w,keyBindForward
field_74352_v,enableVsync
field_74353_u,fullScreen
field_74354_ai,optionsFile
field_74355_t,snooperEnabled
field_74356_s,serverTextures
field_74357_r,chatOpacity
field_74358_q,chatLinksPrompt
field_74359_p,chatLinks
field_74362_aa,particleSetting
field_74363_ab,language
field_74364_ag,PARTICLES
field_74366_z,keyBindRight
field_74367_ae,GUISCALES
field_74368_y,keyBindBack
field_74370_x,keyBindLeft
field_74375_b,deltaY
field_74377_a,deltaX
field_74385_A,enumFloat
field_74386_B,enumBoolean
field_74387_C,enumString
field_74421_a,mc
field_74500_a,mc
field_74503_a,mc
field_74512_d,keyCode
field_74513_e,pressed
field_74514_b,hash
field_74515_c,keyDescription
field_74516_a,keybindArray
field_74522_a,colorBuffer
field_74530_b,listDummy
field_74531_a,mapDisplayLists
field_74532_a,mc
field_74536_a,mc
field_74541_b,lineString
field_74542_c,chatLineID
field_74543_a,updateCounterCreated
field_74586_f,rotationZ
field_74587_g,rotationYZ
field_74588_d,rotationX
field_74589_e,rotationXZ
field_74590_b,objectY
field_74591_c,objectZ
field_74592_a,objectX
